.	punkt
-	bindestrich
-	minus
-	minus zeichen
-	subtraktion szeichen
-	viertelgeviertstrich
_	unterstrich
!	ausrufezeichen
!	rufzeichen
#	raute
#	doppelkreuz
#	doppel kreuz
#	hashtag
$	dollar zeichen
%	prozent zeichen
&	und
&	und zeichen
@	at
@	at zeichen
@	äffchen
@	klammer affe
@	klammeraffen zeichen
@	klammer affen zeichen
@	affenschwanz
@	affen schwanz
@	affenklammer
@	affen klammer
@	affenohr
@	affen ohr
'	apostroph
'	hochkomma
"	anführungszeichen
"	gänsefüßchen
*	stern
*	asterisk
+	plus
/	slash
/	schrägstrich
=	gleichheitszeichen
=	istgleich
?	fragezeichen
^	zirkumflex
^	hochgestelltes zeichen
^	dach
`	gravis
`	akzentzeichen
{	linke klammer auf
{	öffnende geschweifte klammer
{	geschweifte klammer auf
|	pipe
|	senkrechter strich
}	rechte klammer zu
}	schließende geschweifte klammer
}	geschweifte klammer zu
~	tilde
,	komma
