€	euros
US$	dólares estadounidenses
US$	dólares americanos
CAD$	dólares canadienses
$	dólares
$	pesos
¥	yenes
AR$	pesos argentinos
BOB	bolivianos
BRL	reales brasileños
CHF	francos suizos
CLP	pesos chilenos
CNY	yuan chinos
COP	pesos colombianos
CRC	colones costarricenses
₡	colones
CUP	pesos cubanos
RD$	pesos dominicanos
GBP	libras esterlinas
GTQ	quetzales
HKD	dólares de hong kong
HNL	lempiras
HTG	gourdes
INR	rupias indias
Mex$	pesos mexicanos
NIO	córdobas
PAB	balboas
S/	soles
₲	guaraníes
SVC	colones salvadoreños
UYU	pesos uruguayos
VES	bolívares soberanos
BOP	pesos bolivianos
CLE	escudos chilenos
ECS	sucres ecuatorianos
PEH	soles de oro
VEB	bolívares venezolanos
VEF	bolívares fuertes
£	libras
₩	wones
R$	reales
₧	pesetas
q	quetzales
