# Additional currencies are listed below.
# To use them, simply copy them to the main currency_minor_plural.tsv file.

IQD	fils
AFN	pul
ALL	qindarka
AMD	luma
AON	lwei
AZN	qəpik
BAM	feninga
BDT	poisha
BGN	stotinki
BTN	chertums
BWP	thebe
BYN	kopeks
KČ	haléř
KR	øre
EGP	piastras
ETB	santim
GEL	tetri
GHS	pesewas
GMD	bututs
HRK	lipa
HUF	krajczár
IDR	sen
ILS	agorot
RS	paise
IRR	dinares
ISK	aurar
JOD	qirsh
UZS	tiyin
LAK	att
LSL	lisente
RON	bani
MKD	deni
MMK	pyas
₮	mongo
MOP$	avos
MRU	jums
MVR	laari
MWK	támbala
₦	kobo
OMR	baise
PGK	toea
ZŁ	groszy
QAR	dirhams
RSD	para
RUB	kopeks
SAR	halalás
SEK	öre
฿	satang
TJS	dirams
TMT	teňňe
TND	millimes
TOP	seniti
TRL	kuruş
₫	xu
WST	sene
RSD	ngwee
CSK	hellers
DEM	pfennigs
SIT	stotinov
