Ud.	usted
Uds.	ustedes
Vd.	vosotros
Vds.	vosotros
Dr.	doctor
Dra.	doctora
D.	don
Da.	doña
EE. UU.	estados unidos
p.ej.	por ejemplo
Prof.	profesor
Profa.	profesora
Sr.	señor
Sra.	señora
Sres.	señores
Srta.	señorita
etc.	etcétera
TXT	t x t
TXT	T x t
TXT	T X T
GPS	g p s
GPS	G p s
GPS	G P S
DNI	d n i
DNI	D n i
DNI	D N I
ISSN	I S S N
ISSN	I s s n
ISSN	i s s n
SMS	S M S
SMS	S m s
SMS	s m s
ISBN	I S B N
ISBN	I s b n
ISBN	i s b n
URL	U R L
URL	U r l
URL	u r l
RPG	R P G
RPG	R p g
RPG	r p g
ADN	A D N
ADN	A d n
ADN	a d n
JPG	J P G
JPG	J p g
JPG	j p g
