euro	€
dollar	$
u s dollar	USD
pfund	£
pfund sterling	£
englische pfund	£
britische pfund	£
britischen pfund	£
yen	¥
rupien	₹
rupie	₹
australische dollar	AUD
australischen dollar	AUD
chinesische renminbi	CNY
chinesische yuan	CNY
yuan	CNY
kanadische dollar	CAD
kanadischen dollar	CAD
zypern pfund	CY£
indonesischen rupiah	IDR
indonesische rupiah	IDR
schwedische kronen	SEK
schwedischen kronen	SEK
norwegische kronen	NOK
norwegischen kronen	NOK
norwegische krone	NOK
lybische dinar	LYD
russische rubel	RUB
rubel	RUB
baht	THB
belarus rubel	BYN
frank	CHF
franken	CHF
tchechische kronen	CZK
ägyptische pfund	EG£
ägyptischen pfund	EG£
japanische yen	¥
polnische zloty	PLN
zloty	PLN
złoty	zł
dänische kronen	DKK
bolivianos	BOB
algerischer dinar	DZD
gulden	ƒ
aruba gulden	AWG
ghanaischer cedi	GHS
katar riyal	QAR
kayman dollar	KYD
kaymaninseln dollar	KYD
lesothischer loti	LSL
malaysischer ringgit	MYR
mexikanischer peso	MXN
peruanischer sol	PEN
singapur dollar	SGD
taiwanesischer dollar	TWD
burundi frank	BIF
khmer riel	KHR
südafrikanischer rand	ZAR
israelische schekel	₪
israelischen schekel	₪
schekel	₪
jordanischen dinar	JOD
marokkanischen dirham	MAD
kongolesische francs	CDF
türkische lira	₺
türkischen lira	₺
lira	₺
argentinische pesos	ARS
argentinische peso	ARS
neuseeländische dollar	NZD
nepalesische rupien	NPR
reais	BRL
brasilianischen reais	BRL
brasilianische reais	BRL
georgische lari	GEL
fidschi dollar	FJD
zimbabwe dollar	ZWL
chilenischen pesos	CLP
guernsey pfund	GPP
irakischen dinar	IQD
isländischen kronen	ISK
moldauischen leu	MDL
ungarischen forint	HUF
forint	HUF
bahrain dinar	BHD
kambodschanische riel	KHR
hongkong dollar	HKD
schweizer franken	CHF
indischen rupien	₹
indische rupie	₹
eineurostück	1 € stück
belarussische rubel	BYN
belarus rubeln	BYN
tschechische kronen	CZK
tschechischen kronen	CZK
tschechische krone	CZK
ägyptisches pfund	EG£
renminbi	CNY
eritreische nakfa	ERN
algerische dinar	DZD
algerischen dinar	DZD
burundi franc	BIF
mexikanische pesos	MXN
südafrikanische rand	ZAR
südafrikanischen rand	ZAR
won	₩
marokkanische dirham	DH
thai baht	THB
georgische lari	GEL
argentinische peso	ARS
renminbi	RMB
russischen rubel	RUB
cent	¢
lempira	HNL
naira	NGN
lek
quindarka
peso
sol
d mark
jiao
karak
kuna
real
reals
eurocent
krone
pence
dime
centavos
kobo

