ज़ेड एक्स आठ शून्य एक नौ आठ शून्य	ZX80 1980
बी ए एस ई तीन दो	Base32
बी ई सी एच तीन दो	Bech32
सी ए एन ओ एन ए सात पाँच	Canon A75
आर ई डी एम आई एच चार चार चार जी	REDMI H44 4G
आई एन एन ओ टी ई एक	IN NOTE1
ए एस सी आई आई आठ पाँच	Ascii85
एम के हाइफ़न एक ए	Mk-1A
एक नौ तीन पाँच आठ एम नौ	1 9358M9
छह दो दो छह शून्य एम छह	6 2260M6
सात नौ नौ छह पाँच एम छह	7 9965M6
डॉट टी आर ए वी आई एस डॉट वाई एम एल	.travis.yml
एच आई पी ओ	Hipo
अग्नि द्वितीय	अग्नि-2
कोविड नौटीन	कोविड-19
पृथ्वी चार	पृथ्वी-4
ब्रह्मोस हाइफ़न एक	ब्रह्मोस-1
भास्कर हाइफ़न दो	भास्कर-II
श्रेणी हाइफ़न दो	श्रेणी-II
रोहिणी आर एस हाइफ़न एक	रोहिणी आर एस-I
ऑडी आठ शून्य बटा नौ शून्य बी चार	ऑडी 80/90 B4
ऑडी आठ शून्य बटा  नौ शून्य  बी चार	ऑडी 80/90 B4
पाँच जी	5G
लैपटॉप हाइफ़न चार तीन डॉट सानशेज़ हाइफ़न क्रॉफोर्ड	laptop-43.sanchez-crawford
