I	ένα
II	δύο
III	τρία
IV	τέσσερα
V	πέντε
VI	έξι
VII	εφτά
VIII	οχτώ
IX	εννιά
X	δέκα
XI	έντεκα
XII	δώδεκα
XIII	δεκατρία
XIV	δεκατέσσερα
XV	δεκαπέντε
XVI	δεκαέξι
XVII	δεκαεφτά
XVIII	δεκαοχτώ
XIX	δεκαεννιά
XX	είκοσι
XXI	είκοσι ένα
XXII	είκοσι δύο
XXIII	είκοσι τρία
XXIV	είκοσι τέσσερα
XXV	είκοσι πέντε
XXVI	είκοσι έξι
XXVII	είκοσι εφτά
XXVIII	είκοσι οχτώ
XXIX	είκοσι εννιά
XXX	τριάντα
XXXI	τριάντα ένα
XXXII	τριάντα δύο
XXXIII	τριάντα τρία
XXXIV	τριάντα τέσσερα
XXXV	τριάντα πέντε
XXXVI	τριάντα έξι
XXXVII	τριάντα εφτά
XXXVIII	τριάντα οχτώ
XXXIX	τριάντα εννιά
XL	σαράντα
XLI	σαράντα ένα
XLII	σαράντα δύο
XLIII	σαράντα τρία
XLIV	σαράντα τέσσερα
XLV	σαράντα πέντε
XLVI	σαράντα έξι
XLVII	σαράντα εφτά
XLVIII	σαράντα οχτώ
XLIX	σαράντα εννιά
L	πενήντα
LI	πενήντα ένα
LII	πενήντα δύο
LIII	πενήντα τρία
LIV	πενήντα τέσσερα
LV	πενήντα πέντε
LVI	πενήντα έξι
LVII	πενήντα εφτά
LVIII	πενήντα οχτώ
LIX	πενήντα εννιά
LX	εξήντα
LXI	εξήντα ένα
LXII	εξήντα δύο
LXIII	εξήντα τρία
LXIV	εξήντα τέσσερα
LXV	εξήντα πέντε
LXVI	εξήντα έξι
LXVII	εξήντα εφτά
LXVIII	εξήντα οχτώ
LXIX	εξήντα εννιά
LXX	εβδομήντα
LXXI	εβδομήντα ένα
LXXII	εβδομήντα δύο
LXXIII	εβδομήντα τρία
LXXIV	εβδομήντα τέσσερα
LXXV	εβδομήντα πέντε
LXXVI	εβδομήντα έξι
LXXVII	εβδομήντα εφτά
LXXVIII	εβδομήντα οχτώ
LXXIX	εβδομήντα εννιά
LXXX	ογδόντα
LXXXI	ογδόντα ένα
LXXXII	ογδόντα δύο
LXXXIII	ογδόντα τρία
LXXXIV	ογδόντα τέσσερα
LXXXV	ογδόντα πέντε
LXXXVI	ογδόντα έξι
LXXXVII	ογδόντα εφτά
LXXXVIII	ογδόντα οχτώ
LXXXIX	ογδόντα εννιά
XC	ενενήντα
XCI	ενενήντα ένα
XCII	ενενήντα δύο
XCIII	ενενήντα τρία
XCIV	ενενήντα τέσσερα
XCV	ενενήντα πέντε
XCVI	ενενήντα έξι
XCVII	ενενήντα εφτά
XCVIII	ενενήντα οχτώ
XCIX	ενενήντα εννιά
C	εκατό
CI	εκατόν ένα
CII	εκατόν δύο
CIII	εκατόν τρία
CIV	εκατόν τέσσερα
CV	εκατόν πέντε
CVI	εκατόν έξι
CVII	εκατόν εφτά
CVIII	εκατόν οχτώ
CIX	εκατόν εννιά
CX	εκατόν δέκα
CXI	εκατόν έντεκα
CXII	εκατόν δώδεκα
CXIII	εκατόν δεκατρία
CXIV	εκατόν δεκατέσσερα
CXV	εκατόν δεκαπέντε
CXVI	εκατόν δεκαέξι
CXVII	εκατόν δεκαεφτά
CXVIII	εκατόν δεκαοχτώ
CXIX	εκατόν δεκαεννιά
CXX	εκατόν είκοσι
CXXI	εκατόν είκοσι ένα
CXXII	εκατόν είκοσι δύο
CXXIII	εκατόν είκοσι τρία
CXXIV	εκατόν είκοσι τέσσερα
CXXV	εκατόν είκοσι πέντε
CXXVI	εκατόν είκοσι έξι
CXXVII	εκατόν είκοσι εφτά
CXXVIII	εκατόν είκοσι οχτώ
CXXIX	εκατόν είκοσι εννιά
CXXX	εκατόν τριάντα
CXXXI	εκατόν τριάντα ένα
CXXXII	εκατόν τριάντα δύο
CXXXIII	εκατόν τριάντα τρία
CXXXIV	εκατόν τριάντα τέσσερα
CXXXV	εκατόν τριάντα πέντε
CXXXVI	εκατόν τριάντα έξι
CXXXVII	εκατόν τριάντα εφτά
CXXXVIII	εκατόν τριάντα οχτώ
CXXXIX	εκατόν τριάντα εννιά
CXL	εκατόν σαράντα
CXLI	εκατόν σαράντα ένα
CXLII	εκατόν σαράντα δύο
CXLIII	εκατόν σαράντα τρία
CXLIV	εκατόν σαράντα τέσσερα
CXLV	εκατόν σαράντα πέντε
CXLVI	εκατόν σαράντα έξι
CXLVII	εκατόν σαράντα εφτά
CXLVIII	εκατόν σαράντα οχτώ
CXLIX	εκατόν σαράντα εννιά
CL	εκατόν πενήντα
CLI	εκατόν πενήντα ένα
CLII	εκατόν πενήντα δύο
CLIII	εκατόν πενήντα τρία
CLIV	εκατόν πενήντα τέσσερα
CLV	εκατόν πενήντα πέντε
CLVI	εκατόν πενήντα έξι
CLVII	εκατόν πενήντα εφτά
CLVIII	εκατόν πενήντα οχτώ
CLIX	εκατόν πενήντα εννιά
CLX	εκατόν εξήντα
CLXI	εκατόν εξήντα ένα
CLXII	εκατόν εξήντα δύο
CLXIII	εκατόν εξήντα τρία
CLXIV	εκατόν εξήντα τέσσερα
CLXV	εκατόν εξήντα πέντε
CLXVI	εκατόν εξήντα έξι
CLXVII	εκατόν εξήντα εφτά
CLXVIII	εκατόν εξήντα οχτώ
CLXIX	εκατόν εξήντα εννιά
CLXX	εκατόν εβδομήντα
CLXXI	εκατόν εβδομήντα ένα
CLXXII	εκατόν εβδομήντα δύο
CLXXIII	εκατόν εβδομήντα τρία
CLXXIV	εκατόν εβδομήντα τέσσερα
CLXXV	εκατόν εβδομήντα πέντε
CLXXVI	εκατόν εβδομήντα έξι
CLXXVII	εκατόν εβδομήντα εφτά
CLXXVIII	εκατόν εβδομήντα οχτώ
CLXXIX	εκατόν εβδομήντα εννιά
CLXXX	εκατόν ογδόντα
CLXXXI	εκατόν ογδόντα ένα
CLXXXII	εκατόν ογδόντα δύο
CLXXXIII	εκατόν ογδόντα τρία
CLXXXIV	εκατόν ογδόντα τέσσερα
CLXXXV	εκατόν ογδόντα πέντε
CLXXXVI	εκατόν ογδόντα έξι
CLXXXVII	εκατόν ογδόντα εφτά
CLXXXVIII	εκατόν ογδόντα οχτώ
CLXXXIX	εκατόν ογδόντα εννιά
CXC	εκατόν ενενήντα
CXCI	εκατόν ενενήντα ένα
CXCII	εκατόν ενενήντα δύο
CXCIII	εκατόν ενενήντα τρία
CXCIV	εκατόν ενενήντα τέσσερα
CXCV	εκατόν ενενήντα πέντε
CXCVI	εκατόν ενενήντα έξι
CXCVII	εκατόν ενενήντα εφτά
CXCVIII	εκατόν ενενήντα οχτώ
CXCIX	εκατόν ενενήντα εννιά
CC	διακόσια
CCI	διακόσια ένα
CCII	διακόσια δύο
CCIII	διακόσια τρία
CCIV	διακόσια τέσσερα
CCV	διακόσια πέντε
CCVI	διακόσια έξι
