ars	peso argentino
ar$	peso argentino
awg	florín arubeño
bob	boliviano
brl	real brasileño
cad	dólar canadiense
chf	franco suizo
clp	peso chileno
cny	yuan chino
cop	peso colombiano
crc	colón costarricense
₡	colón
cup	peso cubano
dop	peso dominicano
rd$	peso dominicano
eur	euro
gtq	quetzal
gyd	dólar guyanés
hkd	dólar de hong kong
hnl	lempira
htg	gourde
inr	rupia india
jpy	yen
kr	corona
kr.	corona
krw	won
mxn	peso mexicano
nio	córdoba
pab	balboa
pen	sol
s/	sol
pyg	guaraní
₲	guaraní
rs	rupia
rs.	rupia
svc	colón salvadoreño
ttd	dólar de trinidad y tobago
usd	dólar estadounidense
uyu	peso uruguayo
uyw	unidad previsional uruguaya
ves​	bolívar soberano
arp	peso argentino
bop	peso boliviano
cle	escudo chileno
ecs	sucre ecuatoriano
mxp	peso mexicano
peh	sol de oro
svc	colón salvadoreño
veb	bolívar venezolano
vef	bolívar fuerte
€	euro
$	dólar
£	libra
₩	won
fr	franco
mk	marco
¥	yen
r$	real
₧	peseta
ptas	peseta
us$	dólar estadounidense
mex$	peso mexicano
q	quetzal
us $	dólar estadounidense
