# Additional currencies are listed below.
# To use them, simply copy them to the main currency_major.tsv file.

aed	dírham
dh	dírham
dhs	dírham
afn	afgani
all	lek
amd	dram armenio
ang	florín antillano neerlandés
aoa	kwanza
aok	primer kwanza
aon	nuevo kwanza
aor	kwanza reajustado
azn	manat azerbaiyano
bam	marco convertible
bbd	dólar barbadense
bdt	taka
bgn	leva búlgara
bhd	dinar bareiní
bif	franco de burundi
bmd	dólar bermudeño
bd$	dólar bermudeño
bnd	dólar de brunéi
bsd	dólar bahameño
b$	dólar bahameño
btn	ngultrum
bwp	pula
byn	rublo bielorruso
bzd	dólar beliceño
bz$	dólar beliceño
cdf	franco congoleño
cou	unidad de valor real
cve	escudo caboverdiano
czk	corona checa
djf	franco yibutiano
dkk	corona danesa
dzd	dinar argelino
egp	libra egipcia
ern	nakfa
etb	birr etíope
fjd	dólar fiyiano
fj$	dólar fiyiano
fkp	libra malvinense
gbp	libra esterlina
gel	lari
ghs	cedi ghanés
gip	libra de gibraltar
gmd	dalasi
gnf	franco guineano
hrk	kuna
huf	forinto
idr	rupia indonesia
ils	nuevo séquel israelí
iqd	dinar iraquí
irr	rial iraní
isk	corona islandesa
jmd	dólar jamaiquino
jod	dinar jordano
kes	chelín keniano
kgs	som
khr	riel
kmf	franco comorense
kpw	won norcoreano
kwd	dinar kuwaití
kyd	dólar de las islas caimán
kzt	tenge
lak	kip
lbp	libra libanesa
lkr	rupia de sri lanka
lrd	dólar liberiano
lsl	loti
lyd	dinar libio
mad	dírham marroquí
mdl	leu moldavo
mga	ariary malgache
mkd	denar
mmk	kyat
mnt	tugrik
₮	tugrik
mop	pataca
mop$	pataca
mru	uguiya
mur	rupia de mauricio
mvr	rufiyaa
mwk	kwacha
myr	ringgit malayo
mzn	metical mozambiqueño
nad	dólar namibio
ngn	naira
₦	naira
nok	corona noruega
npr	rupia nepalí
nzd	dólar neozelandés
nz$	dólar neozelandés
omr	rial omaní
pgk	kina
php	peso filipino
₱	peso filipino
P	peso filipino
pkr	rupia pakistaní
pln	esloti
zł	esloti
zł.	esloti
qar	rial catarí
ron	leu rumano
rsd	dinar serbio
rub	rublo ruso
rwf	franco ruandés
sar	rial saudí
sbd	dólar de las islas salomón
scr	rupia seychelense
sdg	libra sudanesa
sek	corona sueca
shp	libra de santa elena
sll	leone
sos	chelín somalí
srd	dólar surinamés
ssp	libra sursudanesa
stn	dobra
syp	libra siria
szl	lilangeni
thb	baht
฿	baht
tjs	somoni tayiko
tmt	manat turcomano
tnd	dinar tunecino
top	paʻanga
try	lira turca
twd	nuevo dólar taiwanés
tzs	chelín tanzano
uah	grivna
ugx	chelín ugandés
uzs	som uzbeko
vnd	dong vietnamita
₫	dong vietnamita
vuv	vatu
wst	tala
xaf	franco c f a de áfrica central
xof	franco c f a de áfrica occidental
xpf	franco c f p
xsu	sistema unitario de compensación regional
xua	unidad de cuenta del banco africano de desarrollo
yer	rial yemení
zar	rand
zmw	kwacha zambiano
zwl	dólar zimbabuense
adf	franco andorrano
adp	peseta andorrana
afa	afgani
aon	kwanza angoleño
aor	kwanza angoleño reajustado
ats	chelín austríaco
bec	franco belga
bef	franco belga
bel	franco belga
bgl	lev búlgaro
csd	dinar serbio
csk	corona checoslovaca
cyp	libra chipriota
ddm	marco de rda
dem	marco alemán
eek	corona estonia
ehp	peseta saharaui
fim	marco finlandés
frf	franco francés
grd	dracma griega
iep	libra irlandesa
itl	lira italiana
luf	franco luxemburgués
mtl	lira maltesa
nlg	florín neerlandés
pei	inti
plz	esloti polaco
pte	escudo portugués
rur	rublo ruso
sit	tólar esloveno
skk	corona eslovaca
srg	guilder surinamés
sur	rublo de la unión soviética
trl	lira turca
yud	nuevo dinar yugoslavo
yum	dinar yugoslavo
zal	rand surafricano código de fondos
zrn	nuevo zaire
zrz	zaire
zml	kwacha zambiano
kč	corona checa
aud	dólar australiano
bov	boliviano con mantenimiento de valor respecto al dólar estadounidense
che	euro wir
chw	franco wir
clf	unidad de fomento
cuc	peso convertible
mxv	unidad de inversión mexicana
sgd	dólar de singapur
usn	dólar estadounidense siguiente día
uyi	peso uruguayo en unidades indexadas
xag	plata
xau	oro
xcd	dólar del caribe oriental
xdr	derecho especial de giro
xpd	paladio
xpt	platino
ara	austral argentino
arc	peso moneda corriente argentino
arf	peso fuerte argentino
arg	peso oro sellado argentino
arl	peso ley argentino
arm	peso moneda nacional argentino
ecv	unidad de valor constante ecuatoriana
esa	peseta española
esb	peseta española
esp	peseta española
xeu	unidad monetaria europea
