ars	centavo
ar$	centavo
awg	centavo
bob	centavo
brl	centavo
cad	centavo
chf	céntimo
clp	centavo
cny	jiao
cop	centavo
crc	céntimo
₡	céntimo
cup	centavo
dop	centavo
rd$	centavo
eur	centavo
gtq	centavo
gyd	centavo
hkd	centavo
hnl	centavo
htg	céntimo
inr	paisa
jpy	centavo
kr	øre
kr.	øre
krw	chon
mxn	centavo
nio	centavo
pab	centésimo
pen	céntimo
s/	céntimo
pyg	céntimo
₲	céntimo
rs	paisa
rs.	paisa
svc	centavo
ttd	céntimo
usd	centavo
uyu	centésimo
uyw	centésimo
ves​	céntimo
arp	centavo
bop	centavo
cle	centésimo
ecs	centésimo
mxp	centavo
peh	centavo
svc	centavo
veb	céntimo
vef	céntimo
€	céntimo
$	centavo
£	penique
₩	chon
fr	céntimo
mk	céntimo
¥	centavo
r$	centavo
₧	céntimo
ptas	céntimo
us$	centavo
mex$	centavo
q	centavo
us $	centavo
