m²	वर्ग मीटर
cm²	वर्ग सेंटीमीटर
mm²	वर्ग मिलीमीटर
km²	वर्ग किलोमीटर
ft²	वर्ग फुट
yd²	वर्ग यार्ड
ha	हेक्टेयर
ac	एकड़
m	मीटर
cm	सेंटी मीटर
mm	मिली मीटर
km	किलो मीटर
dm	डेसि मीटर
nm	नैनो मीटर
mi	मील
in	इंच
ft	फुट
yd	यार्ड
µm	माइक्रोन
kmph	किलो मीटर प्रति घंटा
mph	मील प्रति घंटा
°C	सेल्सियस
°F	फारेनहाइट
K	कैल्विन
m³	क्यूबिक मीटर
cm³	क्यूबिक सेंटीमीटर
mm³	क्यूबिक मिलीमीटर
L	लीटर
ml	मिली लीटर
in³	घन इंच
ft³	घन फुट
yd³	घन यार्ड
qt	क्वार्ट
gal	गैलन
pt	पिंट
g	ग्राम
kg	किलो ग्राम
mg	मिलि ग्राम
cg	सेंटी ग्राम
dg	डेसि ग्राम
t	टन
st	स्टोन
lb	पाउंड
oz	औंस
q	क्विंटल
