dr.	doktor
prof.	professzor
u.	utca
tv.	törvény
tel.	telefon
Pf.	postafiók
alez.	alezredes
bek.	bekezdés
Bp.	Budapest
cm-es	centiméteres
cs.	csoport
D-DK	dél-délkelet
DK	délkelet
D-DNy	dél-délnyugat
DNy	délnyugat
É-ÉK	észak-északkelet
ÉK	északkelet
É-ÉNy	észak-északnyugat
ÉNy	északnyugat
K-DK	kelet-délkelet
K-ÉK	kelet-északkelet
Ny-DNy	nyugat-délnyugat
Ny-ÉNy	nyugat-északnyugat
dkg	dekagramm
db	darab
em.	emelet
évf.	évfolyam
fej.	fejezet
fn.	főnév
fszt.	földszint
Ft	forint
Ft-os	forintos
gimn.	gimnázium
hsz.	határozószó
isk.	iskola
ism.	ismétlés
ker.	kerület
kg-os	kilogrammos
kir.	király
km-es	kilométeres
korm.	kormány
köv.	következő
Kr.	Krisztus
krt.	körút
ktg.	költség
max.	maximum
Magyaro.	Magyarország
m-es	méteres
Hz	hertz
MHz	megahertz
mp	másodperc
Mrd	milliárd
op.	opus
stb.	s a többi
vs.	versus
vö.	vesd össze
vmi	valami
vki	valaki
ún.	úgynevezett
uő	ugyanő
uo.	ugyanott
ui.	ugyanis
ua.	ugyanaz
ti.	tudniillik
szül.	született
megh.	meghalt
sztem	szerintem
Szt.	Szent
pu.	pályaudvar
pl.	például
ált.	általános
és tsai.	és társai
ford.	fordította
i. m.	idézett mű
ifj.	ifjabb
kb.	körülbelül
ld.	lásd
