ođđajagem	ođđajagemánnu
ođđajagim	ođđajagimánnu
guovvam	guovvamánnu
njukčam	njukčamánnu
cuoŋom	cuoŋománnu
miessem	miessemánnu
geassem	geassemánnu
suoidnem	suoidnemánnu
borgem	borgemánnu
čakcam	čakčamánnu
golggotm	golggotmánnu
skábmam	skábmamánnu
juovlam	juovlamánnu
ođđajagemánu	ođđajagemánnu
guovvamánu	guovvamánnu
njukčamánu	njukčamánnu
cuoŋománu	cuoŋománnu
miessemánu	miessemánnu
geassemánu	geassemánnu
suoidnemánu	suoidnemánnu
borgemánu	borgemánnu
čakčamánu	čakčamánnu
golggotmánu	golggotmánnu
skábmamánu	skábmamánnu
juovlamánu	juovlamánnu
