AlkhL	Alkohollagen
AnstF	anställningsförordningen
AnstF:s	anställningsförordningens
ArkivF	Arkivförordningen
AvbetköpL	Avbetalningsköplagen
BokfL	Bokföringslagen
Co.	kompani
CoQ10	koenzym Q 10
DelgL:s	delgivningslagens
DepCh	departementschef
DiskrL	diskrimineringslagen
FiskeL	fiskelagen
FullmL	Lagen om fullmaktsanställning
FörfSamlF	författningssamlingsförordningen
GWh	gigawattimmar
HSjvL	Hälso och sjukvårdslagen
HyresfL	lagen om förvärv av hyresfastighet
HyresftL	lagen om förvärv av hyresfastighet
Hz	hertz
HögskF	Högskoleförordningen
HögskL	Högskolelagen
Ibid.	Ibidem
JustR	justitieråd
K. Instr	kunglig instruktion
KKöpL	Konsumentköplagen
KTjL	konsumenttjänstlagen
KamR	Kammarrätten
KamR:s	Kammarrättens
Kebbe-förl	Kebbe-förlaget
Km²	kvadratkilometer
KomL	Kommunallagen
KomL:s	Kommunallagens
KonkurrensL	konkurrenslagen
KulturmL	Lagen om kulturminnen
KulturmL:s	Lagen om kulturminnens
Kungl Maj:t	kungliga majestät
Kungl Maj:ts	kungliga majestäts
Kungl. Maj:t	kungliga majestät
Kungl. Maj:ts	kungliga majestäts
KökrkL	Körkortslagen
KökrkL:s	Körkortslagens
KörkF	Körkortsförordningen
LKAvg	Lagen om rätt för kommun att ta ut avgift
LSTInstr	Förordning med länsstyrelseinstruktion
LivsmL	Livsmedelslagen
LivsmL:s	Livsmedelslagens
LösdrL	lösdriverilagen
MHz	megahertz
MJ	megajoule
MW	megawatt
MWel	megawatt el
MedbL	Lagen om svenskt medborgarskap
MedbL:s	Lagen om svenskt medborgarskaps
Mme	madame
MyndF	Myndighetsförordningen
NamnL	Namnlagen
PartnerL	partnerlagen
PolisF	polisförordningen
PreskL	preskriptionslagen
PreskrL	preskriptionslagen
RättsprL	Rättsprövningslagen
SBetL	Skattebetalningslagen
SkolL	Skollagen
TWhel	terawattimmar el
TWhkyla	terawattimmar kyla
TWhvärme	terawattimmar värme
TullL	tullagen
US$	US-dollar
VitesL	Viteslagen
VägL	Väglagen
VägmF	Vägmärkesförordningen
a st.	anfört ställe
adr.	adress
adv.	adverb
agr.	agronomie
al.fälgar	aluminiumfälgar
alufälg	aluminiumfälgar
arbetsmarkn.pol	arbetsmarknadspolitisk
art nr	artikelnummer
avg.	avgift
begr.byrå	begravningsbyrå
beh.	behandling
behandl.	behandling
behanl	behandling
best nr	beställningsnummer
cal.	kalori
chefsexp	chefsexpedition
chefsexp.	chefsexpedition
cl/l	centiliter per liter
cm2	kvadratcentimeter
cm3	kubikcentimeter
cm²	kvadratcentimeter
cm³	kubikcentimeter
d:o	dito
dens.	densamma
dep chef	departementschef
dep sek	departementssekreterare
dep. chef	departementschef
dep. chefen	departementschefen
dep. sekreterare	departementssekreterare
dep.chef	departementschef
dep.chefen	departementschefen
dep.sekreterare	departementssekreterare
dm2	kvadratdecimeter
dm3	kubikdecimeter
dm²	kvadratdecimeter
dm³	kubikdecimeter
doc.	docent
dw	dödvikt
e.t.c.	etcetera
ekon.	ekonomie
el dyl.	eller dylikt
el.	eller
eng.	engelska
epist.	epistel
ex.	exempel
fig.	figur
fjv	fjärrvärme
fr a.	framför allt
fr.	från
fre-sön	fredag till söndag
fred-sönd	fredag till söndag
frfattare	författare
följ.	följande
förf.s	författarens
förf:a	författarna
förf:na	författarna
förf:nas	författarnas
förf:s	författarens
hovr.	hovrätt
i sht.	i synnerhet
inv/km2	invånare per kvadratkilometer
isht	i synnerhet
jmftal	jämförelsetal
jr	junior
jur.	juris
jur.utr.	juris utriusque
k:a	kyrka
kHz	kilohertz
kJ	kilojoule
kV	kilovolt
kW	kilowatt
kWh	kilowattimme
kand.	kandidat
kbit	kilobit
kbps	kilobits per sekund
kcal/dag	kilokalorier per dag
kcal/gram	kilokalorier per gram
kj/kg	kilojoule per kilo
kl.	klockan
km/h	kilometer i timmen
km/s	kilometer per sekund
km2	kvadratkilometer
km:s	kilometers
kostn.	kostnad
kr/kg	kronor per kilo
kr/m2	kronor per kvadratmeter
kr/månad	kronor per månad
kr/styck	kronor styck
kr/år	kronor per år
kton	kiloton
leg.	legitimerad
lic.	licentiat
lig.	ligament
lx	lux
m2	kvadratmeter
m3	kubikmeter
mag.	magister
maj:t	majestät
maj:ts	majestäts
mbar	millibar
mbps	megabits per sekund
mbyte	megabyte
mdkr	miljarder kronor
mg/kg	milligram per kilo
min övers.	min översättning
ml/l	milliliter per liter
mm vp	millimeter vattenpelare
mm2	kvadratmillimeter
mm3	kubikmillimeter
mmHg	millimeter kvicksilver
mmol	millimol
mmol/l	millimol per liter
mm²	kvadratmillimeter
mm³	kubikmillimeter
mnkr	miljoner kronor
mom.	moment
m²	kvadratmeter
m³	kubikmeter
ng/kg	nanogram per kilo
nmol	nanomol
nr/år	nummer per år
omm	om och endast om
op.	opus
ord pris	ordinarie pris
ord. pris	ordinarie pris
ord.pris	ordinarie pris
pat.avg.	patientavgift
pers.	person
pmol	pikomol
rec.	recension
reg.	register
rev.	reviderad
s:a	summa
sign.	signatur
spec.	speciell
startförp.	startförpackning
startförpackn	startförpackning
stud.	studerande
t e x	till exempel
tab.	tabell
tekn.	teknologie
tel.	telefon
tel:	telefon
temp.	temperatur
teol.	teologie
tkr/månad	tusen kronor per månad
tkronor	tusen kronor
vs.	versus
överkl.nämnd	överklagarnämnd
