AckL	ackordslagen
ActL	lagen om avtal och andra rättshandlingar på förmögenhetsrättens område
AnlL	anläggningslagen
AnmL	Anmälningsskyldighetslagen
ArkF	Arkivförordningen
ArkivL	Arkivlagen
AvbetKL	lagen om avbetalningsköp mellan näringsidkare
AvbetLN	lagen om avbetalningsköp mellan näringsidkare
AvgF	avgiftsförordningen
AvtL	avtalslagen
AvtvillkL	Lagen om avtalsvillkorslag i konsumentförhållanden
BVerfG	Bundesverfassungsgericht
BVerfGE	Entscheidungen des Bundenverfassungerichts
BehL	Behandlingslagen
BehandlL	Lagen om behandling av häktade och anhållna med flera
BetsL	Betalningssäkringslagen
BoU	bostadsutskottet
BrB	brottsbalken
BrB:s	brottsbalkens
BrL	Brottsskadelagen
BrP	Lagen om införande av brottsbalken
ChL	checklagen
CheckL	Checklagen
CsSkr	Centralstyrelsens skrivelse
DataF	Dataförordningen
DelgF	Delgivningsförordningen
DelgL	Delgivningslagen
DelgivnL	Delgivningslagen
DepL	depositionslagen
DjsL	Djurskyddslagen
DlgL	Delgivningslagen
DsJu	Departementsserien, Justitiedepartementet
DödnL	dödningslagen
EGTullK	EG tull K
EkomL	Lagen om elektronisk kommunikation
ErFL	Lagen om ersättningsfonder
ErsL	Ersättningslagen
Exml	Expansionsmedelslagen
ExpL	Expropriationslagen
ExprL	Expropriationslagen
Exprk	Expropriationskungörelsen
F d	föredetta
FVIII	faktor åtta
FiU	finansutskottet
FingeravtrycksF	Fingeravtrycksförordningen
FirmaL	firmalagen
FrämjandeL	Främjandelagen
FtaxL	Fastighetstaxeringslagen
FvL	Förvaltningslagen
FvPrL	Förvaltningsprocesslagen
FöU	försvarsutskottet
GUtlL	gamla utlänningslagen
GåvoL	Gåvolagen
HovR	hovrätten
HovR:n	hovrätten
HovR:ns	hovrättens
HskL	Hälsoskyddslagen
IndrivningsF	Indrivningsförordningen
InkassoL	Inkassolagen
InsiderL	Insiderlagen
InstrRPS	Förordning med instruktion för RPS
InstrRÅ	Förordning med instruktion för riksåklagaren
Ju-dep	justitiedepartementet
JuU	Justitieutskottet
JvSL	Järnvägssäkerhetslagen
JvTrL	Järnvägstrafiklagen
JämL	jämställdhetslagen
K.prop.	Kunglig proposition
KKL	Konsumentköplagen
KRes	Kunglig Resolution
KSkr	Kunglig Skrivelse
KamrR	kammarrätten
KamrR:s	kammarrättens
Kförkl	Kunglig förklaring
KkL	Körkortslagen
KkrL	Konsumentkreditlagen
KommL	kommissionslagen
KonkL	Konkurslagen
KonsTjL	Konsumenttjänstlagen
KrU	Kulturutskottet
KskL	Kommunalskattelagen
Ku-dep	kulturdepartementet
KungL	Kungörandelagen
KöpL	köplagen
LSt:s	Länsstyrelses
LagR	Lagrådet
Lst	Länsstyrelsen
MSkL	Miljöskadelagen
Mc	mac
MiljöB	Miljöbalken
MiljöB:s	Miljöbalkens
NUtlL	nya utlänningslagen
NoK	Natur och kultur
NyttjL	lagen om nyttjanderätt till fast egendom
OffSekrL	offentlighets- och sekretesslagen
PbrL	Lagen om pantbrevsregister
PolL	polislagen
PolL:s	Polislagens
PolisL	polislagen
ProkuraL	Prokuralagen
RBKomm	Kommentar till rättegångsbalken
RegF	Regeringsformen
RegR	regeringsrätten
RegR:s	Regeringsrättens
RhjF	Rättshjälpsförordningen
RhjL	Rättshjälpslagen
Ridd.O	Riddarhusordningen
RomF	Romfördraget
RtjL	Räddningstjänstlagen
RänteL	räntelagen
SEK	svenska kronor
SamboL	Lagen om sambors gemensamma hem
SamägarL	Lagen om samäganderätt
SekrF	Sekretessförordningen
SekrL	sekretesslagen
SekrL:s	Sekretesslagens
SemL	Semesterlagen
ServL	Lagen om servitut
SjöL	Sjölagen
SkBrL	Skattebrottslagen
SkL	Skadeståndslagen
SkU	skatteutskottet
SkadestL	Skadeståndslagen
SkadestL:s	Skadeståndslagens
SkbrL	skuldebrevslagen
SkkL	Skogskontolagen
SksanL	skuldsaneringslagen
SkstL	skadeståndslagen
SmittskL	Smittskyddslagen
SmittskL:s	Smittskyddslagens
SoF	Socialtjänstförordningen
SoL	Socialtjänstlagen
SoL:s	Socialtjänstlagens
SoU	socialutskottet
SofL	Socialförsäkringslagen
StsSkl	Strålskyddslagen
SvJT	Svensk Juristtidning
TR:n	tingsrätten
TR:ns	tingsrättens
TaxL	Taxeringslagen
TaxL:s	Taxeringslagens
TeleL	Telelagen
Tr.F	Tryckfrihetsförordningen
Tr.O	Tryckfrihetsförordningen
TrF	Trafikförordningen
TrF:s	Trafikförordningens
TraF	Trafikförordningen
TraF:s	Trafikförordningens
TrafikF	Trafikförordningen
TrafikF:s	Trafikförordningens
TskL	Trafikskadelagen
TvL	Lagen om särskilda tvångsåtgärder i beskattningsförfarandet
UbU	Utbildningsutskottet
UpphL	upphovsrättslagen
UtlF	Utlänningsförordningen
UtlL	utlänningslagen
UtlL:s	Utlänningslagens
ValL:s	Vallagens
VerksF	Verksförordningen
VerksF:s	Verksförordningens
VxL	Växellagen
a.d.	anno domini
c:a	cirka
dB	decibel
dBA	decibel
e l.	eller liknande
eg.	egentligen
em.	eftermiddag
eo.	extra ordinarie
f d.	föredetta
f.m.	förmiddag
fn.	för närvarande
hPa	hektopascal
sr.	senior
valL	vallagen
µm	mikrometer
ÄgofrL	Lagen om ägofred
ÄktB	Äktenskapsbalken
ÄktP	Lagen om införande av äktenskapsbalken
ÄrendeL	Lagen om domstolsärenden
ÅklF	Åklagarförordningen
