Ca	cirka
F. d	föredetta
Fd	föredetta
Sc.St.L	Scandinavian Studies in Law
ca	cirka
cm	centimeter
d. y	den yngre
d. ä	den äldre
d.y	den yngre
d.ä	den äldre
e. l	eller liknande
e. o	extra ordinarie
e. u	enligt uppgift
e.c	e contrario
e.l	eller liknande
e.m	eftermiddag
e.o	extra ordinarie
e.u	enligt uppgift
f. d	föredetta
f. n	för närvarande
f. ö	för övrigt
f.n	för närvarande
f.ö	för övrigt
fd	föredetta
ff	och följande sidor
fg	föregående
interp	interpellation
kg	kilo
km	kilometer
o. a	och andra
o.a	och andra
rskr	riksdagsskrivelse
u. a	utan anmärkning
u. o	utan ort
u. å	utan årtal
u.a	utan anmärkning
u.o	utan ort
u.å	utan årtal
ua	utan anmärkning
uo	utan ort
uå	utan årtal
ö. g	över gården
ö. h	över havet
ö.g	över gården
ö.h	över havet
