/giờ	trên giờ
/g	trên giờ
/h	trên giờ
/ngày	trên ngày
/d	trên ngày
/tuần	trên tuần
/tháng	trên tháng
/năm	trên năm
/phút	trên phút
/p	trên phút
/giây	trên giây
/s	trên giây
/lần	một lần
/cái	một cái
/chiếc	một chiếc
/kg	một ki lô gam
/g	một gam
/m	một mét
/km	một ki lô mét
/m²	một mét vuông
/m2	một mét vuông
/m³	một mét khối
/m3	một mét khối
/l	một lít
/ml	một mi li lít
/người	một người
/chỗ	một chỗ
/bài	một bài
/trang	một trang
/từ	một từ
/GB	một gigabyte
/MB	một megabyte
/TB	một terabyte
/tấn	một tấn
/đêm	một đêm
/buổi	một buổi
/ca	một ca
/dự án	một dự án
/lớp	một lớp
/khóa	một khóa
/suất	một suất 
