s:t	sankt
s:te	sankte
s:ta	sankta
Arbetsm.- och etableringsmin.	Arbetsmarknads- och etableringsminister
migrationsmin.	migrationsminister
innovationsmin.	innovationsminister
s.k.	så kallad
tis	tisdag
tors	torsdag
tor	torsdag
fre	fredag
lör	lördag
sön	söndag
n:a	norra
n:r	nummer
nr	nummer
nr.	nummer
n:ris	numeris
n:s	numeris
ngn	någon
sthlm	Stockholm
sthlm:s	Stockholms
t.ex.	till exempel
t. ex.	till exempel
t.h.	till höger
t.v.	till vänster
t.o.m.	till och med
o.dyl.	och dylikt
o. dyl.	och dylikt
o.d.	och dylikt
o. d.	och dylikt
o.l.	och liknande
o. l.	och liknande
o.likn.	och liknande
o. likn.	och liknande
m.m.	med mera
mm	med mera
tr.	trappa
tf	tillförordnad
t.f.	tillförordnad
ung.	ungefär
äfv.	äfven
äv.	även
ö:a	östra
v:a	västra
åld.	ålderdomlig
rdr. b:co	riksdaler banco
rdr. r:gs	riksdaler riksgälds
rdr. rgs.	riksdaler riksgälds
r:gs	riksgälds
rgs.	riksgälds
r:dr	riksdaler
rdr.	riksdaler
ÖB	överbefälhavare
öht	överhuvudtaget
ÅR	åskådliga rummet
o.s.a.	om svar anhålles
o. s. a.	om svar anhålles
